N,FLOP,Flops,s,Threads
16777216,-9223372036854775808,-3.236615e+20,0.028497,2
16777216,-9223372036854775808,-6.092120e+20,0.015140,4
16777216,-9223372036854775808,-1.100773e+21,0.008379,8
16777216,-9223372036854775808,-1.843120e+21,0.005004,16
16777216,-9223372036854775808,-2.366912e+21,0.003897,32
16777216,-9223372036854775808,-2.448748e+21,0.003767,40
