N,FLOP,Flops,s
256,33554432,3.282050e+08,0.102236
1024,2147483648,7.205453e+08,2.980359
1024,2147483648,7.155280e+08,3.001257
1024,2147483648,7.264514e+08,2.956129
1024,2147483648,3.560886e+09,0.603076
1024,2147483648,4.949404e+08,4.338874
