N,FLOP,Flops,s,Threads
32768,70368744177664,3.856842e+13,1.824517,2
32768,70368744177664,7.228779e+13,0.973453,4
32768,70368744177664,1.298741e+14,0.541823,8
32768,70368744177664,2.578778e+14,0.272876,16
32768,70368744177664,4.949991e+14,0.142159,32
32768,70368744177664,4.630470e+14,0.151969,40
